query,sequential_ms,5users_ms,10users_ms,5users_slowdown_x,10users_slowdown_x,10v5users_ratio_x,5users_avg_queue_ms,5users_max_queue_ms,10users_avg_queue_ms,10users_max_queue_ms
q24a,148031.8,533503.6,1013566.3,3.6,6.85,1.9,40.2,65,156.9,204
q24b,127521.2,317847,472641,2.49,3.71,1.49,57958,289557,191452.7,383402
q34,3472,22569.6,25566.5,6.5,7.36,1.13,4026.4,4713,125928.2,250817
q39a,2907.2,12173.4,12346.9,4.19,4.25,1.01,26.4,33,1478.9,6837
q39b,2831.2,8021.8,15055.5,2.83,5.32,1.88,1008.2,1740,111.1,782
q52,1343,3588.6,6035.7,2.67,4.49,1.68,24,28,73173.7,147203
q64,43609.6,118098.4,202423.3,2.71,4.64,1.71,49988.4,83870,849.9,3426
q72,18759,53624.8,90329,2.86,4.82,1.68,13532.2,42839,3232.4,17575
q82,6034,16491.6,27372.2,2.73,4.54,1.66,10279.4,21310,25230.9,76200
q95,13634.4,14064,26189.1,1.03,1.92,1.86,3954.2,6825,5609.4,29728
q99,8347.6,16238.4,29060.2,1.95,3.48,1.79,3880.6,7031,2402.9,23744
