user_id,queries_run,user_start_s,user_end_s,user_total_wall_s,sum_execution_time_ms,sum_queue_time_ms
1,11,22.3,4047.32,4025.02,1910878,268467
2,11,22.31,4047.26,4024.95,1905589,270067
3,11,22.31,4047.25,4024.94,1871455,273980
4,11,22.31,3966.28,3943.97,2020999,313063
5,11,22.2,4012.82,3990.62,1888580,603810
6,11,22.31,3218.18,3195.88,1887434,249957
7,11,22.3,4047.02,4024.72,1968913,549919
8,11,22.3,4042.07,4019.77,1952145,549407
9,11,22.31,4007.51,3985.21,1903169,582119
10,11,22.31,4013.08,3990.77,1896695,635481
