query,concurrent_users,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_queue_time_ms,max_queue_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned
q24a,10,2X-Small,2434.6,1173,3490,64.9,130,224436,219.2KB,269.5,0
q24b,10,2X-Small,2159.3,1092,3450,181,580,102324,99.9KB,12.9,0
q34,10,2X-Small,5390.5,4798,7005,25.2,30,17292773,16.5MB,127039,218
q39a,10,2X-Small,9022.1,6726,12143,25,30,2209908,2.1MB,378064,206
q39b,10,2X-Small,8416.8,5756,9562,23.7,30,2209908,2.1MB,378064,10
q52,10,2X-Small,4496.2,3457,5630,24.9,32,4316736,4.1MB,2103,100
q64,10,2X-Small,53763.3,46513,59595,25.9,41,225627456,215.2MB,7859726,9
q72,10,2X-Small,13751.5,11012,16418,24.3,28,86462027,82.5MB,11825342,100
q82,10,2X-Small,6636.9,5316,8122,345.2,1728,119142228,113.6MB,255910,4
q95,10,2X-Small,6716.7,4361,8427,361,1595,139193172,132.7MB,792448,1
q99,10,2X-Small,3858.1,2473,7364,222.3,1482,102739783,98.0MB,285857,90
