user_id,query,run,statement_id,state,submit_epoch_rel_s,end_epoch_rel_s,wall_clock_s,execution_time_ms,queue_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
4,q24a,1,01f1942d-7972-15e1-ab45-daf5578ac4c4,SUCCEEDED,1.655,786.708,785.05,530020,65,533152,3067,47531126349,5949039772,2919,0,False,2X-Small,0.588911
1,q24a,1,01f1942d-796a-1143-b2f9-bcfb50fd956e,SUCCEEDED,1.598,786.707,785.11,544616,32,547709,3061,47217742584,5949039772,2919,0,False,2X-Small,0.605129
2,q24a,1,01f1942d-7967-11e7-9f40-c48ff8d3a4c3,SUCCEEDED,1.578,786.804,785.23,528529,37,531725,3159,47325536418,5949039772,2919,0,False,2X-Small,0.587254
5,q24a,1,01f1942d-7966-11ea-a02a-022f880689ea,SUCCEEDED,1.571,787.022,785.45,536301,39,539503,3163,47815763938,5949039772,2919,0,False,2X-Small,0.59589
3,q24a,1,01f1942d-7962-1497-9af5-e920363566bf,SUCCEEDED,1.548,799.3,797.75,528052,28,531211,3131,47519637642,5949039772,2919,0,False,2X-Small,0.586724
5,q24b,1,01f1942f-4e27-1a2d-a813-4e521d9a1fa7,SUCCEEDED,787.938,2530.414,1742.48,380190,63,381363,1110,47213323799,5960293200,322,0,False,2X-Small,0.422433
2,q24b,1,01f1942f-4deb-1e26-9baa-a94d970c0c37,SUCCEEDED,787.541,2530.415,1742.87,354738,43,355858,1077,47973706712,5960293200,322,0,False,2X-Small,0.394153
3,q24b,1,01f1942f-5566-1922-ab93-baf3c48aa8e9,SUCCEEDED,800.094,2533.383,1733.29,143907,289557,434694,1230,48173400597,5960293200,322,0,False,2X-Small,0.159897
4,q24b,1,01f1942f-4de5-1ec8-bad0-6846e9bb8470,SUCCEEDED,787.508,2533.45,1745.94,324006,66,325081,1009,47222786519,5960293200,322,0,False,2X-Small,0.360007
1,q24b,1,01f1942f-4de6-1d1a-bcb3-79ebd9792fa1,SUCCEEDED,787.521,2533.482,1745.96,386394,61,387534,1079,47179851443,5960293200,322,0,False,2X-Small,0.429327
3,q34,1,01f19433-5fd2-1fbe-a09a-7248dcab5d77,SUCCEEDED,2535.251,2576.426,41.17,22343,1824,36262,12095,902302974,373625564,8489,0,False,2X-Small,0.024826
5,q34,1,01f19433-5e20-10ac-8c90-f8ca06ccd5e0,SUCCEEDED,2532.212,2576.451,44.24,23303,4713,40063,12047,939985407,373625564,8489,0,False,2X-Small,0.025892
4,q34,1,01f19433-5ff1-1f66-a397-2eabf3adbefa,SUCCEEDED,2535.282,2576.481,41.2,22387,4473,37028,10168,948530388,373625564,8489,0,False,2X-Small,0.024874
2,q34,1,01f19433-5e1e-12de-aca5-b75dd2d2fc4b,SUCCEEDED,2532.219,2576.502,44.28,22397,4712,39135,12026,925596531,373625564,8489,0,False,2X-Small,0.024886
1,q34,1,01f19433-5ff3-13a8-8802-d73895f0ee19,SUCCEEDED,2535.284,2576.524,41.24,22418,4410,37202,10374,852743333,373625564,8489,0,False,2X-Small,0.024909
