query,concurrent_users,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_queue_time_ms,max_queue_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned
q24a,5,2X-Small,533503.6,528052,544616,40.2,65,47481961386.2,44.2GB,5949039772,2919
q24b,5,2X-Small,317847,143907,386394,57958,289557,47552613814,44.3GB,5960293200,322
q34,5,2X-Small,22569.6,22343,23303,4026.4,4713,913831726.6,871.5MB,373625564,8489
q39a,5,2X-Small,12173.4,10505,13006,26.4,33,108400999,103.4MB,24300079,14551
q39b,5,2X-Small,8021.8,2932,10018,1008.2,1740,99098231,94.5MB,24300079,594
q52,5,2X-Small,3588.6,3280,3925,24,28,520870541.2,496.7MB,88798449,100
q64,5,2X-Small,118098.4,87626,139251,49988.4,83870,33660688419.6,31.3GB,2984402980.4,12185
q72,5,2X-Small,53624.8,32523,72168,13532.2,42839,5358729692.4,5.0GB,578079250,100
q82,5,2X-Small,16491.6,6133,32473,10279.4,21310,9952536536.2,9.3GB,2851298108,19
q95,5,2X-Small,14064,7508,28125,3954.2,6825,2739636112.8,2.6GB,874991631,1
q99,5,2X-Small,16238.4,10588,23764,3880.6,7031,1162426307.6,1.1GB,406129852,100
