query,sequential_ms,5users_ms,5users_slowdown_x,10users_ms,10users_slowdown_x,10v5users_ratio_x,5users_avg_queue_ms,10users_avg_queue_ms,10users_max_queue_ms
q24a,832.6,2907.2,3.49,2434.6,2.92,0.84,90.8,64.9,130
q24b,388.4,1664.2,4.28,2159.3,5.56,1.3,74.4,181,580
q34,1437,5380.2,3.74,5390.5,3.75,1.0,27.2,25.2,30
q39a,1778.2,7443.6,4.19,9022.1,5.07,1.21,25.6,25,30
q39b,1522.6,5511.2,3.62,8416.8,5.53,1.53,25.2,23.7,30
q52,694.4,2484.6,3.58,4496.2,6.47,1.81,25.6,24.9,32
q64,6921,30147.6,4.36,53763.3,7.77,1.78,26,25.9,41
q72,3986.6,9202.4,2.31,13751.5,3.45,1.49,24.8,24.3,28
q82,1902,4397.6,2.31,6636.9,3.49,1.51,26,345.2,1728
q95,1776.6,6270.6,3.53,6716.7,3.78,1.07,22,361,1595
q99,954.8,3892,4.08,3858.1,4.04,0.99,26.8,222.3,1482
