query,run,statement_id,state,wall_clock_s,execution_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
q24a,1,01f19417-1477-1b17-8694-1d3d984442d2,SUCCEEDED,6.35,1704,6039,4279,316019,385,0,0,False,2X-Small (Serverless),0.001893
q24a,2,01f19417-18b4-182d-9144-df72aeb0b02d,SUCCEEDED,2.86,522,2165,1477,316020,385,0,0,False,2X-Small (Serverless),0.00058
q24a,3,01f19417-1ae5-1cc1-8c4d-b8d43d1c8744,SUCCEEDED,2.68,547,1886,1316,316020,385,0,0,False,2X-Small (Serverless),0.000608
q24a,4,01f19417-1ce3-112c-8b25-cb80280bea6a,SUCCEEDED,2.55,536,1413,849,316020,385,0,0,False,2X-Small (Serverless),0.000596
q24a,5,01f19417-1ed7-1b2c-be9d-4ef607e0ee97,SUCCEEDED,2.65,808,2341,1501,316020,385,0,0,False,2X-Small (Serverless),0.000898
q24b,1,01f19417-20d0-154f-a6bd-6d94bb148254,SUCCEEDED,2.61,564,1682,1091,316020,43,0,0,False,2X-Small (Serverless),0.000627
q24b,2,01f19417-22ba-1c7f-9d0d-6aaf9780402b,SUCCEEDED,2.77,458,1374,890,316020,43,0,0,False,2X-Small (Serverless),0.000509
q24b,3,01f19417-24b9-1a32-a9f7-b0dc42b07c13,SUCCEEDED,2.64,603,1649,1024,316020,43,0,0,False,2X-Small (Serverless),0.00067
q24b,4,01f19417-26a6-1280-bff8-2a691587dfc3,SUCCEEDED,2.65,683,1588,877,316020,43,0,0,False,2X-Small (Serverless),0.000759
q24b,5,01f19417-28a1-1191-9667-dfd98ae1fbf2,SUCCEEDED,2.71,661,1425,734,316020,43,0,0,False,2X-Small (Serverless),0.000734
q34,1,01f19417-2ad0-1240-8582-8e765c22f776,SUCCEEDED,4.15,2270,3657,1362,17268297,127039,218,0,False,2X-Small (Serverless),0.002522
q34,2,01f19417-2dbb-1fd8-b86b-2362af8a11be,SUCCEEDED,2.8,1179,1729,526,17292773,127039,218,0,False,2X-Small (Serverless),0.00131
q34,3,01f19417-2fe2-1ab1-832f-6a90dceda785,SUCCEEDED,2.77,1168,2173,977,17292773,127039,218,0,False,2X-Small (Serverless),0.001298
q34,4,01f19417-31ed-12e3-8ffc-f53db08cb135,SUCCEEDED,2.65,1253,1867,582,17292773,127039,218,0,False,2X-Small (Serverless),0.001392
q34,5,01f19417-33f4-17fe-ab48-a22e92e62bcf,SUCCEEDED,2.62,1506,2129,603,17292773,127039,218,0,False,2X-Small (Serverless),0.001673
q39a,1,01f19417-35f0-1120-8825-73e1cb60afd7,SUCCEEDED,3.72,2207,3311,1083,2206228,378064,206,0,False,2X-Small (Serverless),0.002452
q39a,2,01f19417-388e-1839-ad01-446c288a2cf7,SUCCEEDED,3.71,2721,3271,519,2209908,378064,206,0,False,2X-Small (Serverless),0.003023
q39a,3,01f19417-3b35-1186-93cc-b5251a139a25,SUCCEEDED,2.68,1785,2323,515,2209908,378064,206,0,False,2X-Small (Serverless),0.001983
q39a,4,01f19417-3d43-16ca-bd7a-2b42c301e530,SUCCEEDED,3.4,2359,2901,522,2209908,378064,206,0,False,2X-Small (Serverless),0.002621
q39a,5,01f19417-3fa7-1ea8-92db-7386516d27d3,SUCCEEDED,2.78,1843,2382,516,2209908,378064,206,0,False,2X-Small (Serverless),0.002048
q39b,1,01f19417-41cd-1e41-be68-23d0af830481,SUCCEEDED,2.72,1690,2164,450,2209908,378064,10,0,False,2X-Small (Serverless),0.001878
q39b,2,01f19417-43ce-127a-95dc-90a93397855f,SUCCEEDED,2.85,1514,2327,793,2209908,378064,10,0,False,2X-Small (Serverless),0.001682
q39b,3,01f19417-45de-17e6-a48c-68ced3aae107,SUCCEEDED,2.69,1612,2148,510,2209908,378064,10,0,False,2X-Small (Serverless),0.001791
q39b,4,01f19417-47e5-15df-93e7-b0b4ddfba1d9,SUCCEEDED,2.8,1687,2358,646,2209908,378064,10,0,False,2X-Small (Serverless),0.001874
q39b,5,01f19417-49ef-1592-9c75-1d6cace97720,SUCCEEDED,2.72,1431,1949,495,2209908,378064,10,0,False,2X-Small (Serverless),0.00159
q52,1,01f19417-4bf5-1f15-8aaf-c14ff345cb15,SUCCEEDED,2.7,904,1329,397,4314099,2103,100,0,False,2X-Small (Serverless),0.001004
q52,2,01f19417-4df9-1d16-ae23-71fe8e13a44e,SUCCEEDED,2.72,675,1020,321,4316736,2103,100,0,False,2X-Small (Serverless),0.00075
q52,3,01f19417-5005-1db4-aff5-871b5e9134b0,SUCCEEDED,2.71,809,1208,370,4316736,2103,100,0,False,2X-Small (Serverless),0.000899
