query,run,statement_id,state,wall_clock_s,execution_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated,error
q24a,1,01f19418-6fe2-1fc5-9222-0792c35f89c1,SUCCEEDED,165.78,162972,165322,2316,67466562799,5949039772,2919,0,False,2X-Small (Serverless),0.18108,
q24a,2,01f19418-d32f-112c-8eee-92337a8e6e85,SUCCEEDED,149.54,147350,148187,805,46739705863,5949039772,2919,0,False,2X-Small (Serverless),0.163722,
q24a,3,01f19419-2cc3-1d64-bb68-e2f4545a796e,SUCCEEDED,118.11,116668,117610,905,46890988542,5960619851,2919,0,False,2X-Small (Serverless),0.129631,
q24a,4,01f19419-739a-137d-bc7e-cae7affec337,SUCCEEDED,116.55,115145,116091,921,46870876097,5960619851,2919,0,False,2X-Small (Serverless),0.127939,
q24a,5,01f19419-b97e-1234-99ef-85052bc7a894,SUCCEEDED,1133.76,107998,109036,1005,46922606093,5960619851,2919,0,False,2X-Small (Serverless),0.119998,
q24b,1,01f1941c-5dbd-1f1b-b7c6-c69b81934a44,SUCCEEDED,378.12,126236,143950,11712,47446140049,5960293200,322,0,False,2X-Small (Serverless),0.140262,
q24b,2,01f1941d-3f84-17b6-84d7-b6d1e16715da,SUCCEEDED,111.79,108595,109877,1233,46990345549,5960293200,322,0,False,2X-Small (Serverless),0.120661,
q24b,3,01f1941d-8288-19ee-b491-c4728524589e,SUCCEEDED,111.87,110175,111451,1231,46929301456,5960295300,322,0,False,2X-Small (Serverless),0.122417,
q24b,4,01f1941d-c597-11b2-95b4-4fbe02a2d77a,SUCCEEDED,108.67,106815,108239,1382,46934357576,5960294214,322,0,False,2X-Small (Serverless),0.118683,
q24b,5,01f1941e-06c0-14ad-8b71-30ebab857bca,SUCCEEDED,113.2,111405,112748,1306,48517853283,6188231517,322,0,False,2X-Small (Serverless),0.123783,
q34,1,01f1941e-4a9c-10d7-97b8-1e43d04e6d4c,SUCCEEDED,11.32,9142,10808,1642,940760917,385592820,8489,0,False,2X-Small (Serverless),0.010158,
q34,2,01f1941e-51ce-1259-ba3b-154b2e5ca421,SUCCEEDED,4.38,3148,3832,651,958244066,385592820,8489,0,False,2X-Small (Serverless),0.003498,
q34,3,01f1941e-54da-159d-8730-81f4c70ac517,SUCCEEDED,4.6,3563,4107,518,959269492,385592820,8489,0,False,2X-Small (Serverless),0.003959,
q34,4,01f1941e-5806-1d93-a8da-453a36273f5a,SUCCEEDED,4.83,3518,4302,759,959269492,385592820,8489,0,False,2X-Small (Serverless),0.003909,
q34,5,01f1941e-5b4e-192f-8540-f2eab05ee7eb,SUCCEEDED,4.22,3162,3729,530,959269492,385592820,8489,0,False,2X-Small (Serverless),0.003513,
q39a,1,01f1941e-5e47-1687-88e7-ddaf586248d5,SUCCEEDED,5.26,3549,4674,1106,134604627,24300079,14551,0,False,2X-Small (Serverless),0.003943,
q39a,2,01f1941e-61ea-1136-84c0-af2172463975,SUCCEEDED,4.11,2914,3500,557,99098231,24300079,14551,0,False,2X-Small (Serverless),0.003238,
q39a,3,01f1941e-64da-1512-a642-617ccc3433cd,SUCCEEDED,3.75,2619,3177,490,99098231,24300079,14551,0,False,2X-Small (Serverless),0.00291,
q39a,4,01f1941e-679c-1dcc-a5be-cf4ee7fd6737,SUCCEEDED,3.85,2729,3276,525,99098231,24300079,14551,0,False,2X-Small (Serverless),0.003032,
q39a,5,01f1941e-6a67-1e6b-bd13-e70dd1cac0a1,SUCCEEDED,4.01,2783,3447,639,99098231,24300079,14551,0,False,2X-Small (Serverless),0.003092,
q39b,1,01f1941e-6d61-1fb7-93f4-6c84bfa7bf12,SUCCEEDED,4.15,3113,3649,505,99098231,24300079,594,0,False,2X-Small (Serverless),0.003459,
q39b,2,01f1941e-7033-1691-997f-a5a0575c5894,SUCCEEDED,3.88,2746,3427,652,99098231,24300079,594,0,False,2X-Small (Serverless),0.003051,
q39b,3,01f1941e-72ee-1a46-a808-ea290b765db4,SUCCEEDED,3.76,2697,3343,619,99098231,24300079,594,0,False,2X-Small (Serverless),0.002997,
q39b,4,01f1941e-758c-17af-9d0d-1402c751ea88,SUCCEEDED,4.01,3052,3595,520,99098231,24300079,594,0,False,2X-Small (Serverless),0.003391,
q39b,5,01f1941e-7856-1328-a627-9e4e1b6cbed4,SUCCEEDED,4.95,3903,4504,576,99098231,24300079,594,0,False,2X-Small (Serverless),0.004337,
q52,1,01f1941e-7baa-169a-8796-a472648986fe,SUCCEEDED,3.1,2346,2741,373,707750248,88798449,100,0,False,2X-Small (Serverless),0.002607,
q52,2,01f1941e-7de4-1b55-81f0-004d290cf140,SUCCEEDED,2.63,1167,1523,326,520896981,88798449,100,0,False,2X-Small (Serverless),0.001297,
q52,3,01f1941e-7fd3-1c1e-9cbc-3ee7a4498f00,SUCCEEDED,2.61,1350,1704,330,520896981,88798449,100,0,False,2X-Small (Serverless),0.0015,
q52,4,01f1941e-81bb-1fa4-b4b0-f76526f10979,SUCCEEDED,2.6,1077,1435,332,520896981,88798449,100,0,False,2X-Small (Serverless),0.001197,
q52,5,01f1941e-83a4-1a34-8606-b8ef9a729202,SUCCEEDED,2.61,1206,1900,661,520896981,88798449,100,0,False,2X-Small (Serverless),0.00134,
q64,1,01f1941e-859b-1807-9700-f319d2c0e9d7,SUCCEEDED,56.32,52457,55529,3048,31263940430,2982163866,12185,0,False,2X-Small (Serverless),0.058286,
q64,2,01f1941e-a7e6-11d0-b44d-6c7e50c25257,SUCCEEDED,46.89,41895,45283,3345,31477066927,3010960577,12185,0,False,2X-Small (Serverless),0.04655,
q64,3,01f1941e-c45e-1983-bc4c-81e6344f5223,SUCCEEDED,43.59,39829,42836,2975,31261206413,2986122444,12185,0,False,2X-Small (Serverless),0.044254,
q64,4,01f1941e-def6-10d8-b9cf-ff6de6605fda,SUCCEEDED,208.97,36582,39950,3342,31105091538,2953294947,12185,0,False,2X-Small (Serverless),0.040647,
q64,5,01f1941f-5c1a-19e6-9230-bc3a2f9b1768,SUCCEEDED,41.26,38537,40500,1930,31425830753,2998065898,12185,0,False,2X-Small (Serverless),0.042819,
q72,1,01f1941f-7551-1ee3-8936-025db17302b8,SUCCEEDED,21.17,18961,20625,1621,6162607423,578079250,100,0,False,2X-Small (Serverless),0.021068,
q72,2,01f1941f-8257-128a-9169-520aa6d0e07c,SUCCEEDED,17.51,16173,17078,880,4865189175,578079250,100,0,False,2X-Small (Serverless),0.01797,
q72,3,01f1941f-8d25-15ae-9008-485dba385780,SUCCEEDED,17.65,16167,17271,1081,4560361741,578079250,100,0,False,2X-Small (Serverless),0.017963,
q72,4,01f1941f-9809-1219-bd18-767fcf1c4add,SUCCEEDED,1352.07,16728,17794,1044,4559826914,578079250,100,0,False,2X-Small (Serverless),0.018587,
q72,5,01f19422-be63-1af8-96a6-d4e3f7acb1ae,SUCCEEDED,48.85,30282,46368,10951,5462981532,578079250,100,0,False,2X-Small (Serverless),0.033647,
q82,1,01f19422-dbd5-13ba-883b-d7cd2ee39320,SUCCEEDED,14.84,11975,14350,2341,8724780996,2851298108,19,0,False,2X-Small (Serverless),0.013306,
q82,2,01f19422-e517-1059-a0c2-4002c648524c,SUCCEEDED,7.5,6275,7116,807,8727334226,2851298108,19,0,False,2X-Small (Serverless),0.006972,
q82,3,01f19422-e9ee-1aa0-9e60-58a1ee91c6fa,SUCCEEDED,6.75,5447,6373,897,8727493673,2851298108,19,0,False,2X-Small (Serverless),0.006052,
q82,4,01f19422-ee55-1c86-82d9-68fdcc7eda64,SUCCEEDED,7.06,5913,6661,712,8727493673,2851298108,19,0,False,2X-Small (Serverless),0.00657,
q82,5,01f19422-f2e8-172a-b08a-b20088f1538f,SUCCEEDED,6.89,5635,6495,829,8727493673,2851298108,19,0,False,2X-Small (Serverless),0.006261,
q95,1,01f19422-f769-1439-b296-7bc5a9fb15e3,SUCCEEDED,12.84,10151,12466,2293,3089134635,874991631,1,0,False,2X-Small (Serverless),0.011279,
q95,2,01f19422-ff6e-150d-9bc4-3da24f5e3033,SUCCEEDED,10.04,5796,7340,1517,2646378430,874991631,1,0,False,2X-Small (Serverless),0.00644,
q95,3,01f19423-05cc-1d56-81e2-ffa965aa9f84,SUCCEEDED,7.04,5514,6659,1115,2646378430,874991631,1,0,False,2X-Small (Serverless),0.006127,
q95,4,01f19423-0a60-1b0c-b27a-89a42e3cbd9a,SUCCEEDED,7.01,5450,6549,1081,2646378430,874991631,1,0,False,2X-Small (Serverless),0.006056,
q95,5,01f19423-0ef3-18a7-a7d9-d066d0c72808,SUCCEEDED,6.96,5310,6540,1208,2646378430,874991631,1,0,False,2X-Small (Serverless),0.0059,
q99,1,01f19423-137a-1468-8db3-757cf9a2c574,SUCCEEDED,11.21,9378,10706,1301,1111961104,406129852,100,0,False,2X-Small (Serverless),0.01042,
q99,2,01f19423-1a8d-10c7-8f13-b27085f0b28e,SUCCEEDED,9.9,8322,8867,518,1175164251,406129852,100,0,False,2X-Small (Serverless),0.009247,
q99,3,01f19423-20da-1743-b4b4-3c15381242cb,SUCCEEDED,9.86,8459,9304,825,1175164251,406129852,100,0,False,2X-Small (Serverless),0.009399,
q99,4,01f19423-271a-17cb-bdf8-f6bb81c7d4c1,SUCCEEDED,9.87,8260,8953,669,1175164251,406129852,100,0,False,2X-Small (Serverless),0.009178,
q99,5,01f19423-2d57-11c1-96b9-3d146a15ac4c,SUCCEEDED,9.99,8120,8879,738,1175164251,406129852,100,0,False,2X-Small (Serverless),0.009022,
