query,runs,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned,avg_dbus_consumed_estimated,total_dbus_consumed_estimated_5runs
q24a,5,2X-Small (Serverless),130026.6,107998,162972,50978147878.8,47.5GB,5955987819.4,2919,0.144474,0.72237
q24b,5,2X-Small (Serverless),112645.2,106815,126236,47363599582.6,44.1GB,6005881486.2,322,0.125161,0.625806
q34,5,2X-Small (Serverless),4506.6,3148,9142,955362691.8,911.1MB,385592820,8489,0.005007,0.025037
q39a,5,2X-Small (Serverless),2918.8,2619,3549,106199510.2,101.3MB,24300079,14551,0.003243,0.016215
q39b,5,2X-Small (Serverless),3102.2,2697,3903,99098231,94.5MB,24300079,594,0.003447,0.017235
q52,5,2X-Small (Serverless),1429.2,1077,2346,558267634.4,532.4MB,88798449,100,0.001588,0.007941
q64,5,2X-Small (Serverless),41860,36582,52457,31306627212.2,29.2GB,2986121546.4,12185,0.046511,0.232556
q72,5,2X-Small (Serverless),19662.2,16167,30282,5122193357,4.8GB,578079250,100,0.021847,0.109235
q82,5,2X-Small (Serverless),7049,5447,11975,8726919248.2,8.1GB,2851298108,19,0.007832,0.039161
q95,5,2X-Small (Serverless),6444.2,5310,10151,2734929671,2.5GB,874991631,1,0.00716,0.035802
q99,5,2X-Small (Serverless),8507.8,8120,9378,1162523621.6,1.1GB,406129852,100,0.009453,0.047266
