query,2x_small_exec_ms,serverless_exec_ms,exec_diff_pct,2x_small_scanned_bytes,serverless_scanned_bytes,2x_small_rows_read,serverless_rows_read,rows_returned
q24a,148031.8,130026.6,-12.2,48640217495.8,50978147878.8,5962779308.8,5955987819.4,2919
q24b,127521.2,112645.2,-11.7,47982826282.4,47363599582.6,5957980162.8,6005881486.2,322
q34,3472,4506.6,29.8,924442491.8,955362691.8,380805917.6,385592820,8489
q39a,2907.2,2918.8,0.4,98965322.4,106199510.2,24300079,24300079,14551
q39b,2831.2,3102.2,9.6,99098231,99098231,24300079,24300079,594
q52,1343,1429.2,6.4,520880912.2,558267634.4,88798449,88798449,100
q64,43609.6,41860,-4.0,34640508257.4,31306627212.2,2935822979.2,2986121546.4,12185
q72,18759,19662.2,4.8,4809078428.6,5122193357,578079250,578079250,100
q82,6034,7049,16.8,8727239353.4,8726919248.2,2851298108,2851298108,19
q95,13634.4,6444.2,-52.7,2879050393.2,2734929671,901972790.4,874991631,1
q99,8347.6,8507.8,1.9,1162523621.6,1162523621.6,406129852,406129852,100
