query,sf1_exec_ms,sf1000_exec_ms,exec_ratio_x,sf1_scanned_bytes,sf1000_scanned_bytes,sf1_scanned_h,sf1000_scanned_h,scan_ratio_x,sf1_rows_read,sf1000_rows_read,rows_ratio_x,sf1_rows_ret,sf1000_rows_ret,sf1_dbu,sf1000_dbu,dbu_ratio_x
q24a,832.6,148031.8,177.8,316019.8,48640217495.8,308.6KB,45.3GB,153915.1,385,5962779308.8,15487738.5,0,2919,0.000925,0.16448,177.8
q24b,388.4,127521.2,328.3,254964,47982826282.4,249.0KB,44.7GB,188194.5,34.4,5957980162.8,173197097.8,0,322,0.000431,0.14169,328.7
q34,1437,3472,2.4,17287877.8,924442491.8,16.5MB,881.6MB,53.5,127039,380805917.6,2997.6,218,8489,0.001597,0.003858,2.4
q39a,1778.2,2907.2,1.6,2209172,98965322.4,2.1MB,94.4MB,44.8,378064,24300079,64.3,206,14551,0.001976,0.00323,1.6
q39b,1522.6,2831.2,1.9,2209908,99098231,2.1MB,94.5MB,44.8,378064,24300079,64.3,10,594,0.001692,0.003146,1.9
q52,694.4,1343,1.9,4316208.6,520880912.2,4.1MB,496.8MB,120.7,2103,88798449,42224.7,100,100,0.000772,0.001492,1.9
q64,6921,43609.6,6.3,225627456,34640508257.4,215.2MB,32.3GB,153.5,7881025,2935822979.2,372.5,9,12185,0.00769,0.048455,6.3
q72,3986.6,18759,4.7,86462027,4809078428.6,82.5MB,4.5GB,55.6,11825342,578079250,48.9,100,100,0.004429,0.020843,4.7
q82,1902,6034,3.2,119142228,8727239353.4,113.6MB,8.1GB,73.3,255910,2851298108,11141.8,4,19,0.002113,0.006704,3.2
q95,1776.6,13634.4,7.7,139193172,2879050393.2,132.7MB,2.7GB,20.7,792448,901972790.4,1138.2,1,1,0.001974,0.015149,7.7
q99,954.8,8347.6,8.7,87968418.4,1162523621.6,83.9MB,1.1GB,13.2,285857,406129852,1420.7,90,100,0.001061,0.009275,8.7
