query,run,statement_id,state,wall_clock_s,execution_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated
q64,1,01f19388-9c08-1a7b-a10b-cb03a13ee47c,SUCCEEDED,8.29,5056,6601,1518,225627456,7859726,9,0,False,2X-Small,0.005618
q64,2,01f19388-a0b8-181e-9d34-4541a80a4383,SUCCEEDED,11.46,8374,11024,2628,225627456,7966221,9,0,False,2X-Small,0.009304
q64,3,01f19388-a7ed-1d74-a779-df7da5a7ba39,SUCCEEDED,10.39,7013,9962,2917,225627456,7859726,9,0,False,2X-Small,0.007792
q64,4,01f19388-af1b-1f69-ba1e-2b532f68b41e,SUCCEEDED,10.11,6933,9356,2401,225627456,7859726,9,0,False,2X-Small,0.007703
q64,5,01f19388-b64e-19aa-b418-4a63f27f7c00,SUCCEEDED,10.23,7229,9545,2292,225627456,7859726,9,0,False,2X-Small,0.008032
q72,1,01f19388-bd78-1942-953e-1cff935b9642,SUCCEEDED,8.24,5144,7657,2489,86462027,11825342,100,0,False,2X-Small,0.005716
q72,2,01f19388-c2cc-178a-af99-c7261a066194,SUCCEEDED,5.53,3334,5044,1688,86462027,11825342,100,0,False,2X-Small,0.003704
q72,3,01f19388-c688-1ec9-9897-b27bc42f514b,SUCCEEDED,6.07,4234,5599,1329,86462027,11825342,100,0,False,2X-Small,0.004704
q72,4,01f19388-ca91-18a2-aa07-53796fb4959e,SUCCEEDED,5.06,3270,4531,1240,86462027,11825342,100,0,False,2X-Small,0.003633
q72,5,01f19388-ce04-1d47-bb7f-554747c3cf55,SUCCEEDED,5.43,3951,5040,1067,86462027,11825342,100,0,False,2X-Small,0.00439
q82,1,01f19388-d1bb-1836-a66b-609f79524256,SUCCEEDED,4.05,2797,3590,773,119142228,255910,4,0,False,2X-Small,0.003108
q82,2,01f19388-d555-142d-ad15-de442d3274e6,SUCCEEDED,4.69,1480,2238,735,119142228,255910,4,0,False,2X-Small,0.001644
q82,3,01f19388-d7c0-1e6e-85be-2b3fd7b1498f,SUCCEEDED,3.1,1857,2655,770,119142228,255910,4,0,False,2X-Small,0.002063
q82,4,01f19388-d9ff-1f3a-91f0-e4ccebf05ce3,SUCCEEDED,3.09,2033,2631,573,119142228,255910,4,0,False,2X-Small,0.002259
q82,5,01f19388-dc6f-1439-9e5d-1c854b1b3211,SUCCEEDED,4.34,1343,2028,660,119142228,255910,4,0,False,2X-Small,0.001492
q95,1,01f19388-df80-14cc-ae08-fbe375423039,SUCCEEDED,3.51,2250,3120,850,139193172,792448,1,0,False,2X-Small,0.0025
q95,2,01f19388-e344-12ce-9719-a7b540b3a1a3,SUCCEEDED,3.05,1692,2634,920,139193172,792448,1,0,False,2X-Small,0.00188
q95,3,01f19388-e70f-115f-9c3f-d872f44ff572,SUCCEEDED,4.16,1430,2158,707,139193172,792448,1,0,False,2X-Small,0.001589
q95,4,01f19388-ea0c-1776-9b50-f395d9aa65e6,SUCCEEDED,5.05,1805,2589,760,139193172,792448,1,0,False,2X-Small,0.002006
q95,5,01f19388-ec9c-1f78-a7b3-a3215ad68f0f,SUCCEEDED,3.11,1706,2712,981,139193172,792448,1,0,False,2X-Small,0.001896
q99,1,01f19388-ef8f-1bf8-a315-0411e5108c12,SUCCEEDED,4.22,1046,2080,1006,28882960,285857,90,0,False,2X-Small,0.001162
q99,2,01f19388-f29c-13ad-9b86-ab9c76f13836,SUCCEEDED,2.72,924,1488,538,102739783,285857,90,0,False,2X-Small,0.001027
q99,3,01f19388-f5ea-17ac-964a-5bdad2fea441,SUCCEEDED,5.73,917,1523,583,102739783,285857,90,0,False,2X-Small,0.001019
