query,runs,warehouse_size,avg_execution_time_ms,min_execution_time_ms,max_execution_time_ms,avg_data_scanned_bytes,avg_data_scanned_human,avg_rows_read,rows_returned,avg_dbus_consumed_estimated,total_dbus_consumed_estimated_5runs
q24a,5,2X-Small,832.6,398,1946,316019.8,308.6KB,385,0,0.000925,0.004625
q24b,5,2X-Small,388.4,298,542,254964,249.0KB,34.4,0,0.000431,0.002157
q34,5,2X-Small,1437,1030,2222,17287877.8,16.5MB,127039,218,0.001597,0.007983
q39a,5,2X-Small,1778.2,1453,2113,2209172,2.1MB,378064,206,0.001976,0.009878
q39b,5,2X-Small,1522.6,1415,1583,2209908,2.1MB,378064,10,0.001692,0.008458
q52,5,2X-Small,694.4,605,880,4316208.6,4.1MB,2103,100,0.000772,0.003858
q64,5,2X-Small,6921,5056,8374,225627456,215.2MB,7881025,9,0.00769,0.038449
q72,5,2X-Small,3986.6,3270,5144,86462027,82.5MB,11825342,100,0.004429,0.022147
q82,5,2X-Small,1902,1343,2797,119142228,113.6MB,255910,4,0.002113,0.010566
q95,5,2X-Small,1776.6,1430,2250,139193172,132.7MB,792448,1,0.001974,0.009871
q99,5,2X-Small,954.8,917,1046,87968418.4,83.9MB,285857,90,0.001061,0.005305
