query,run,statement_id,state,wall_clock_s,execution_time_ms,total_time_ms,compilation_time_ms,data_scanned_bytes,rows_read,rows_returned,spill_to_disk_bytes,result_from_cache,warehouse_size,dbus_consumed_estimated,error
q24a,1,01f1938a-41bc-163d-b911-9a48244daf38,SUCCEEDED,161.08,158160,160351,2163,48376435478,6017737456,2919,0,False,2X-Small,0.175733,
q24a,2,01f1938a-a21f-1286-9b8b-40249d0abe43,SUCCEEDED,146.19,144240,145726,1455,50794446265,5949039772,2919,0,False,2X-Small,0.160267,
q24a,3,01f1938a-f9c1-1d31-8e4e-666a9784bd52,SUCCEEDED,149.74,147147,148639,1463,46810647234,5949039772,2919,0,False,2X-Small,0.163497,
q24a,4,01f1938b-5361-12bc-8ce8-44a5edc2e81b,SUCCEEDED,152.05,150642,151572,901,47002518506,5949039772,2919,0,False,2X-Small,0.16738,
q24a,5,01f1938b-ae72-1efa-a343-7f3a39677f0a,SUCCEEDED,142.18,139970,141284,1278,50217039996,5949039772,2919,0,False,2X-Small,0.155522,
q24b,1,01f1938c-03a1-11d8-b149-da569b006d84,SUCCEEDED,142.58,141372,142176,777,46890519405,5948728014,322,0,False,2X-Small,0.15708,
q24b,2,01f1938c-590c-1752-98f3-ca9050efc7a6,SUCCEEDED,112.94,111362,112436,1038,49098595815,5960293200,322,0,False,2X-Small,0.123736,
q24b,3,01f1938c-9cb8-1432-bd7a-613f61ae8e43,SUCCEEDED,120.17,117059,118037,954,46983251156,5960293200,322,0,False,2X-Small,0.130066,
q24b,4,01f1938c-e4c6-1d98-bc56-32ea5adfe537,SUCCEEDED,121.83,120349,121414,1033,46934462515,5960293200,322,0,False,2X-Small,0.133721,
q24b,5,01f1938d-2dd5-1f88-a27d-fba65bca9009,SUCCEEDED,149.42,147464,148456,962,50007302521,5960293200,322,0,False,2X-Small,0.163849,
q34,1,01f1938d-874f-174f-ac86-10546b15c022,SUCCEEDED,6.65,4862,6131,1233,865993313,373625564,8489,0,False,2X-Small,0.005402,
q34,2,01f1938d-8be1-162e-a6c5-4b43d9e3be35,SUCCEEDED,4.59,3358,3811,430,878410670,373625564,8489,0,False,2X-Small,0.003731,
q34,3,01f1938d-8f06-1204-b9a5-d25da43a75d3,SUCCEEDED,4.11,3088,3524,415,959269492,385592820,8489,0,False,2X-Small,0.003431,
q34,4,01f1938d-91f0-1003-b4a0-210007ebe736,SUCCEEDED,4.14,3062,3560,465,959269492,385592820,8489,0,False,2X-Small,0.003402,
q34,5,01f1938d-94f0-1d84-893d-084da519e4b4,SUCCEEDED,4.02,2990,3466,445,959269492,385592820,8489,0,False,2X-Small,0.003322,
q39a,1,01f1938d-97cc-1d3a-aff0-f451ede97c9b,SUCCEEDED,5.11,3308,4460,1123,98433688,24300079,14551,0,False,2X-Small,0.003676,
q39a,2,01f1938d-9b5c-1d7a-8c36-c4dcce381253,SUCCEEDED,3.91,2793,3273,452,99098231,24300079,14551,0,False,2X-Small,0.003103,
q39a,3,01f1938d-9e50-1580-af34-d48f382710da,SUCCEEDED,3.76,2492,2921,405,99098231,24300079,14551,0,False,2X-Small,0.002769,
q39a,4,01f1938d-a12e-1adb-89d1-d4b84539c266,SUCCEEDED,4.11,2736,3275,517,99098231,24300079,14551,0,False,2X-Small,0.00304,
q39a,5,01f1938d-a41d-1109-99e6-37e44e8a5c25,SUCCEEDED,4.6,3207,3926,696,99098231,24300079,14551,0,False,2X-Small,0.003563,
q39b,1,01f1938d-a778-1d3b-a67b-c1b2766b3fbd,SUCCEEDED,4.44,3153,3970,790,99098231,24300079,594,0,False,2X-Small,0.003503,
q39b,2,01f1938d-aa91-1666-bfdd-989c85f8a3c8,SUCCEEDED,3.67,2586,3167,557,99098231,24300079,594,0,False,2X-Small,0.002873,
q39b,3,01f1938d-ad39-1dcf-8324-d321b608258c,SUCCEEDED,4.11,2980,3501,497,99098231,24300079,594,0,False,2X-Small,0.003311,
q39b,4,01f1938d-b010-1c0c-bb46-39351fb4526f,SUCCEEDED,3.63,2692,3196,472,99098231,24300079,594,0,False,2X-Small,0.002991,
